filing,field,key,expected,actual,verdict,error_magnitude,precision,recall,hallucinated_count,missed_count,notes
ADBE_2025,capex,,179.0,179.0,CORRECT,0.0,,,,,
ADBE_2025,buybacks,,11281.0,11281.0,CORRECT,0.0,,,,,
ADBE_2025,lease_and_offbs_obligations,operating_lease_liability,438.0,438.0,CORRECT,0.0,,,,,
ADBE_2025,lease_and_offbs_obligations,purchase_obligations,6820.0,6821.0,CORRECT,0.0001466275659824047,,,,,
ADBE_2025,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
ADBE_2025,named_operational_metrics,annual_recurring_revenue,25200.0,25200.0,CORRECT,0.0,,,,,
ADBE_2025,named_operational_metrics,gross_margin_subscription,91.15,91.15,CORRECT,0.0,,,,,
ADBE_2025,named_operational_metrics,remaining_performance_obligations,22520.0,22520.0,CORRECT,0.0,,,,,
CRM_2026,capex,,594.0,594.0,CORRECT,0.0,,,,,
CRM_2026,buybacks,,12596.0,12677.0,CORRECT,0.006430612892981899,,,,,
CRM_2026,lease_and_offbs_obligations,operating_lease_liability,2737.0,2737.0,CORRECT,0.0,,,,,
CRM_2026,lease_and_offbs_obligations,purchase_obligations,16700.0,16700.0,CORRECT,0.0,,,,,
CRM_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
CRM_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
CRM_2026,named_operational_metrics,gross_margin_subscription,82.74,82.7,CORRECT,-0.0004834421078074939,,,,,
CRM_2026,named_operational_metrics,remaining_performance_obligations,72400.0,,MISSED,,,,,,
MSFT_2026,capex,,115948.0,115948.0,CORRECT,0.0,,,,,
MSFT_2026,buybacks,,22271.0,22271.0,CORRECT,0.0,,,,,
MSFT_2026,lease_and_offbs_obligations,operating_lease_liability,21925.0,21925.0,CORRECT,0.0,,,,,
MSFT_2026,lease_and_offbs_obligations,purchase_obligations,194060.0,194060.0,CORRECT,0.0,,,,,
MSFT_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,gross_margin_subscription,,,CORRECT,,,,,,
MSFT_2026,named_operational_metrics,remaining_performance_obligations,678000.0,684000.0,CORRECT,0.008849557522123894,,,,,
NOW_2026,capex,,868.0,868.0,CORRECT,0.0,,,,,
NOW_2026,buybacks,,1840.0,1840.0,CORRECT,0.0,,,,,
NOW_2026,lease_and_offbs_obligations,operating_lease_liability,912.0,912.0,CORRECT,0.0,,,,,
NOW_2026,lease_and_offbs_obligations,purchase_obligations,7946.0,7946.0,CORRECT,0.0,,,,,
NOW_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
NOW_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
NOW_2026,named_operational_metrics,gross_margin_subscription,80.0,80.0,CORRECT,0.0,,,,,
NOW_2026,named_operational_metrics,remaining_performance_obligations,28200.0,28200.0,CORRECT,0.0,,,,,
TEAM_2026,capex,,34.0,34.06,CORRECT,0.001764705882353008,,,,,
TEAM_2026,buybacks,,1800.0,1809.685,CORRECT,0.005380555555555526,,,,,
TEAM_2026,lease_and_offbs_obligations,operating_lease_liability,243.35,243.35,CORRECT,0.0,,,,,
TEAM_2026,lease_and_offbs_obligations,purchase_obligations,4695.0,4694.844,CORRECT,-3.3226837060692024e-05,,,,,
TEAM_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
TEAM_2026,named_operational_metrics,annual_recurring_revenue,6606.0,6606.0,CORRECT,0.0,,,,,
TEAM_2026,named_operational_metrics,gross_margin_subscription,,,CORRECT,,,,,,
TEAM_2026,named_operational_metrics,remaining_performance_obligations,4800.0,4800.0,CORRECT,0.0,,,,,
WDAY_2026,capex,,162.0,162.0,CORRECT,0.0,,,,,
WDAY_2026,buybacks,,2895.0,2894.0,CORRECT,-0.0003454231433506045,,,,,
WDAY_2026,lease_and_offbs_obligations,operating_lease_liability,834.0,834.0,CORRECT,0.0,,,,,
WDAY_2026,lease_and_offbs_obligations,purchase_obligations,1566.0,1566.0,CORRECT,0.0,,,,,
WDAY_2026,named_operational_metrics,net_revenue_retention,,,CORRECT,,,,,,
WDAY_2026,named_operational_metrics,annual_recurring_revenue,,,CORRECT,,,,,,
WDAY_2026,named_operational_metrics,gross_margin_subscription,82.66,82.7,CORRECT,0.00048390999274142577,,,,,
WDAY_2026,named_operational_metrics,remaining_performance_obligations,28100.0,28101.0,CORRECT,3.558718861209964e-05,,,,,
